Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;173,72;173,72;173,72;173,72;;
2020-03-26;169,30;169,30;169,30;169,30;;
2020-03-25;168,37;168,37;168,37;168,37;;
2020-03-24;159,64;159,64;159,64;159,64;;
2020-03-23;161,28;161,28;161,28;161,28;;
2020-03-20;162,13;162,13;162,13;162,13;;
2020-03-19;159,43;159,43;159,43;159,43;;
2020-03-18;163,16;163,16;163,16;163,16;;
2020-03-17;159,65;159,65;159,65;159,65;;
2020-03-16;167,50;167,50;167,50;167,50;;
2020-03-13;164,35;164,35;164,35;164,35;;
2020-03-12;174,44;174,44;174,44;174,44;;
2020-03-11;177,89;177,89;177,89;177,89;;
2020-03-10;176,73;176,73;176,73;176,73;;
2020-03-09;185,77;185,77;185,77;185,77;;
2020-03-06;190,83;190,83;190,83;190,83;;
2020-03-05;193,31;193,31;193,31;193,31;;
2020-03-04;190,04;190,04;190,04;190,04;;
2020-03-03;189,39;189,39;189,39;189,39;;
2020-03-02;188,60;188,60;188,60;188,60;;
2020-02-28;191,27;191,27;191,27;191,27;;
2020-02-27;197,93;197,93;197,93;197,93;;
2020-02-26;198,62;198,62;198,62;198,62;;
2020-02-25;201,72;201,72;201,72;201,72;;
2020-02-24;208,16;208,16;208,16;208,16;;
2020-02-21;210,12;210,12;210,12;210,12;;
2020-02-20;211,10;211,10;211,10;211,10;;
2020-02-19;207,93;207,93;207,93;207,93;;
2020-02-18;207,91;207,91;207,91;207,91;;
2020-02-17;208,30;208,30;208,30;208,30;;
2020-02-14;207,73;207,73;207,73;207,73;;
2020-02-13;206,82;206,82;206,82;206,82;;
2020-02-12;206,08;206,08;206,08;206,08;;
2020-02-11;204,19;204,19;204,19;204,19;;
2020-02-10;202,54;202,54;202,54;202,54;;
2020-02-07;203,94;203,94;203,94;203,94;;
2020-02-06;203,76;203,76;203,76;203,76;;
2020-02-05;202,32;202,32;202,32;202,32;;
2020-02-04;199,70;199,70;199,70;199,70;;
2020-02-03;197,55;197,55;197,55;197,55;;
2020-01-31;200,18;200,18;200,18;200,18;;
2020-01-30;201,44;201,44;201,44;201,44;;
2020-01-29;202,29;202,29;202,29;202,29;;
2020-01-28;200,44;200,44;200,44;200,44;;
2020-01-27;204,23;204,23;204,23;204,23;;
2020-01-24;203,67;203,67;203,67;203,67;;
2020-01-23;203,89;203,89;203,89;203,89;;
2020-01-22;203,07;203,07;203,07;203,07;;
2020-01-21;202,72;202,72;202,72;202,72;;
2020-01-20;202,94;202,94;202,94;202,94;;
2020-01-17;201,60;201,60;201,60;201,60;;
2020-01-16;201,02;201,02;201,02;201,02;;
2020-01-15;201,10;201,10;201,10;201,10;;
2020-01-14;200,65;200,65;200,65;200,65;;
2020-01-13;200,27;200,27;200,27;200,27;;
2020-01-10;200,65;200,65;200,65;200,65;;
2020-01-09;199,52;199,52;199,52;199,52;;
2020-01-08;198,33;198,33;198,33;198,33;;
2020-01-07;197,33;197,33;197,33;197,33;;
2020-01-06;197,82;197,82;197,82;197,82;;
2020-01-03;198,40;198,40;198,40;198,40;;
2020-01-02;196,10;196,10;196,10;196,10;;
2019-12-30;197,86;197,86;197,86;197,86;;
2019-12-27;198,24;198,24;198,24;198,24;;
2019-12-23;197,22;197,22;197,22;197,22;;
2019-12-20;196,11;196,11;196,11;196,11;;
2019-12-19;195,42;195,42;195,42;195,42;;
2019-12-18;195,41;195,41;195,41;195,41;;
2019-12-17;195,99;195,99;195,99;195,99;;
2019-12-16;194,00;194,00;194,00;194,00;;
2019-12-13;193,30;193,30;193,30;193,30;;
2019-12-12;192,92;192,92;192,92;192,92;;
2019-12-11;192,25;192,25;192,25;192,25;;
2019-12-10;192,62;192,62;192,62;192,62;;
2019-12-09;193,75;193,75;193,75;193,75;;
2019-12-06;191,89;191,89;191,89;191,89;;
2019-12-05;192,01;192,01;192,01;192,01;;
2019-12-04;190,64;190,64;190,64;190,64;;
2019-12-03;190,50;190,50;190,50;190,50;;
2019-12-02;193,20;193,20;193,20;193,20;;
2019-11-29;193,68;193,68;193,68;193,68;;
2019-11-28;194,05;194,05;194,05;194,05;;
2019-11-27;193,58;193,58;193,58;193,58;;
2019-11-26;192,80;192,80;192,80;192,80;;
2019-11-25;190,67;190,67;190,67;190,67;;
2019-11-22;189,71;189,71;189,71;189,71;;
2019-11-21;190,79;190,79;190,79;190,79;;
2019-11-20;190,98;190,98;190,98;190,98;;
2019-11-19;191,13;191,13;191,13;191,13;;
2019-11-18;191,14;191,14;191,14;191,14;;
2019-11-15;190,54;190,54;190,54;190,54;;
2019-11-14;190,30;190,30;190,30;190,30;;
2019-11-13;189,80;189,80;189,80;189,80;;
2019-11-12;189,26;189,26;189,26;189,26;;
2019-11-11;189,26;189,26;189,26;189,26;;
2019-11-08;189,15;189,15;189,15;189,15;;
2019-11-07;188,58;188,58;188,58;188,58;;
2019-11-06;188,29;188,29;188,29;188,29;;
2019-11-05;188,14;188,14;188,14;188,14;;
2019-11-04;187,79;187,79;187,79;187,79;;
2019-10-31;187,68;187,68;187,68;187,68;;
2019-10-30;187,84;187,84;187,84;187,84;;
2019-10-29;188,82;188,82;188,82;188,82;;
2019-10-28;188,19;188,19;188,19;188,19;;
2019-10-25;188,11;188,11;188,11;188,11;;
2019-10-24;186,35;186,35;186,35;186,35;;
2019-10-23;186,75;186,75;186,75;186,75;;
2019-10-22;187,37;187,37;187,37;187,37;;
2019-10-21;186,56;186,56;186,56;186,56;;
2019-10-18;186,63;186,63;186,63;186,63;;
2019-10-17;186,43;186,43;186,43;186,43;;
2019-10-16;187,50;187,50;187,50;187,50;;
