Date;Close
2019-09-27;109.0447
2019-09-30;109.0643
2019-10-01;109.7781
2019-10-02;107.3336
2019-10-04;104.8597
2019-10-07;105.5149
2019-10-08;105.2509
2019-10-09;104.5566
2019-10-10;104.6251
2019-10-11;107.2651
2019-10-14;107.9594
2019-10-15;108.7612
2019-10-16;109.3381
2019-10-17;110.1203
2019-10-18;109.6999
2019-10-21;110.4137
2019-10-22;110.8146
2019-10-23;111.2741
2019-10-24;111.9097
2019-10-25;111.7239
2019-10-28;112.9266
2019-10-29;113.1711
2019-10-30;112.5942
2019-10-31;111.3426
2019-11-01;111.3719
2019-11-04;113.2395
2019-11-05;114.8236
2019-11-06;115.7134
2019-11-07;116.2512
2019-11-08;116.8378
2019-11-11;116.1729
2019-11-12;116.9943
2019-11-13;115.6645
2019-11-14;115.4005
2019-11-15;115.3125
2019-11-18;115.6547
2019-11-19;115.7818
2019-11-20;114.3347
2019-11-21;113.7675
2019-11-22;114.3151
2019-11-25;115.3711
2019-11-26;115.5667
2019-11-27;116.1338
2019-11-28;115.684
2019-11-29;115.3222
2019-12-02;115.1267
2019-12-03;113.396
2019-12-04;113.1515
2019-12-05;114.2662
2019-12-06;114.2271
2019-12-09;115.6938
2019-12-10;114.6769
2019-12-11;114.9898
2019-12-12;115.1854
2019-12-13;117.933
2019-12-16;118.0699
2019-12-17;118.0992
2019-12-18;118.1383
2019-12-19;118.0601
2019-12-20;118.1383
2019-12-23;118.4023
2019-12-27;118.7348
2019-12-30;118.197
2020-01-02;118.7739
2020-01-03;118.4414
2020-01-06;116.9454
2020-01-07;117.9721
2020-01-08;117.5614
2020-01-09;118.2948
2020-01-10;118.2361
2020-01-13;117.7863
2020-01-14;117.6983
2020-01-15;117.6299
2020-01-16;116.9845
2020-01-17;118.0699
2020-01-20;118.2752
2020-01-21;117.4539
2020-01-22;117.2681
2020-01-23;116.5934
2020-01-24;116.5347
2020-01-27;114.5009
2020-01-28;113.6893
2020-01-29;114.5889
2020-01-30;112.8093
2020-01-31;112.3106
2020-02-03;110.5701
2020-02-04;111.6164
2020-02-05;113.4057
2020-02-06;115.5569
2020-02-07;114.5791
2020-02-10;114.452
2020-02-11;115.1267
2020-02-12;116.1632
2020-02-13;116.0067
2020-02-14;116.8965
2020-02-17;116.5249
2020-02-18;115.5471
2020-02-19;115.508
2020-02-20;115.7427
2020-02-21;114.54
2020-02-24;111.17
2020-02-25;108.86
2020-02-26;106.34
2020-02-27;104.68
2020-02-28;100.34
2020-03-02;99.40
2020-03-03;101.09
2020-03-04;99.41
2020-03-05;99.06
2020-03-06;94.78
2020-03-09;88.75
2020-03-10;87.48
2020-03-11;85.92
2020-03-12;80.24
2020-03-13;75.98
2020-03-16;71.77
2020-03-17;70.68
2020-03-18;69.47
2020-03-19;66.61
2020-03-20;70.74
2020-03-23;67.76
2020-03-24;69.34
2020-03-25;73.68
2020-03-26;74.68
2020-03-27;75.69
